score_team,win_point_player,roundscore_AB,roundscore_CD,ball_types
AB,C,1,0,長球
AB,A,2,0,發長球
CD,B,2,1,小平球
CD,B,2,2,放小球
AB,C,3,2,殺球
CD,D,3,3,殺球
AB,D,4,3,發短球
CD,D,4,4,殺球
AB,C,5,4,放小球
AB,D,6,4,放小球
AB,D,7,4,推撲球
CD,B,7,5,發長球
CD,B,7,6,勾球
CD,C,7,7,挑球
CD,C,7,8,平球
CD,D,7,9,挑球
CD,A,7,10,擋小球
CD,C,7,11,推撲球
CD,A,7,12,平球
CD,A,7,13,平球
CD,B,7,14,擋小球
AB,C,8,14,平球
CD,A,8,15,擋小球
AB,C,9,15,平球
AB,D,10,15,擋小球
CD,B,10,16,發短球
AB,D,11,16,發長球
CD,A,11,17,擋小球
CD,D,11,18,殺球
CD,A,11,19,擋小球
AB,C,12,19,擋小球
AB,D,13,19,小平球
AB,D,14,19,挑球
AB,D,15,19,放小球
CD,C,15,20,殺球
CD,B,15,21,擋小球
