rally,ball_round,time,start_frame,end_frame,roundscore_AB,roundscore_CD,player,server,ball_type,backhand,hit_height,hit_x,hit_y,return_height,return_x,return_y,player_A_x,player_A_y,player_B_x,player_B_y,player_C_x,player_C_y,player_D_x,player_D_y,lose_reason,fault_player,score_reason,score_team,flaw,db
1,1,00:31:22,56426,56442,1,0,B,1,發短球,1,2,0,0,2,753,494,684,357,654,388,718,565,833,529,,,,,0,1
1,2,00:31:23,56442,56452,1,0,D,2,小平球,1,2,753,494,1,852,412,696,361,681,398,732,572,808,523,,,,,0,1
1,3,00:31:23,56452,56465,1,0,B,2,小平球,0,1,852,412,1,975,502,712,352,716,407,742,585,760,497,,,,,0,1
1,4,00:31:24,56465,56486,1,0,D,3,小平球,0,1,975,502,2,935,457,796,355,791,404,830,584,824,500,掛網,D,對手掛網,AB,0,1
2,1,00:31:35,56813,56830,1,1,B,1,發短球,1,2,0,0,2,608,482,664,358,697,390,619,533,770,556,,,,,0,1
2,2,00:31:36,56830,56851,1,1,C,2,放小球,1,2,608,482,2,491,431,657,349,684,394,616,500,782,550,,,,,0,1
2,3,00:31:36,56851,56912,1,1,B,2,挑球,1,2,491,431,1,767,662,646,357,573,407,651,496,789,575,,,,,0,1
2,4,00:31:38,56912,56924,1,1,D,2,殺球,0,1,767,662,2,467,356,763,349,535,353,703,568,748,664,,,,,0,1
2,5,00:31:39,56924,56950,1,1,B,3,防守回抽,1,2,467,356,2,381,426,749,348,526,342,704,548,739,646,掛網,B,對手掛網,CD,0,1
3,1,00:31:55,57418,57436,2,1,C,1,發短球,1,2,0,0,2,768,436,665,372,753,392,700,561,664,520,,,,,0,1
3,2,00:31:56,57436,57461,2,1,B,3,放小球,1,2,768,436,2,944,459,674,374,772,404,742,569,706,508,對手落地致勝,D,落地致勝,AB,0,1
4,1,00:32:08,57806,57825,2,2,A,1,發短球,1,2,0,0,2,755,487,662,375,649,398,750,562,856,531,,,,,0,1
4,2,00:32:09,57825,57847,2,2,D,2,放小球,1,2,755,487,2,726,435,701,361,693,395,755,566,835,497,,,,,0,1
4,3,00:32:10,57847,57865,2,2,B,3,放小球,0,2,726,435,2,866,428,688,355,670,400,720,584,724,500,未過網,B,對手未過網,CD,0,1
5,1,00:32:25,58297,58315,2,3,D,1,發短球,1,2,0,0,2,668,427,594,388,719,385,695,590,727,529,,,,,0,1
